25079_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25080_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25081_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25082_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25083_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25084_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25085_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25086_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25087_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25088_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25089_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25090_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25091_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25092_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25093_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25094_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25095_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25096_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25097_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25098_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25099_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25100_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25101_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25102_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25103_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25104_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1159, 1189, 1194 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25105_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1179, 1130, 1233 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25106_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1168, 1178, 1196 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25107_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1173, 1175, 1194 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25108_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1163, 1185, 1194 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25109_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1181, 1175, 1186 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25110_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1176, 1144, 1222 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25111_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1180, 1148, 1214 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25112_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1196, 1150, 1196 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25113_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1149, 1198, 1195 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25114_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1151, 1197, 1194 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25115_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1174, 1174, 1194 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
