25682_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25683_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25684_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25685_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25686_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25687_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25688_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25689_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25690_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25691_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25692_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25693_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25694_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25695_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25696_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25697_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25698_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25699_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25700_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25701_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25702_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25703_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25704_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25705_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25706_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25707_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25708_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25709_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25710_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25711_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25712_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25713_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25714_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25715_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25716_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25717_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25718_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25719_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25720_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25721_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25722_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25723_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25724_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25725_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25726_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25727_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25728_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25729_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25730_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25731_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25732_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25733_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25734_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25735_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25736_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25737_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25738_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25739_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25740_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25741_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25742_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25743_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25744_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25745_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25746_2|| INTEGER || CONTINUOUS || IRNT || SUCCESS results-linear
25761_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25762_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
