varName,varType,n,beta,lower,upper,pvalue
40012#3,CAT-MUL,104520/7136(111656),0.0198791997737449,-0.00409125626599521,0.0437119012548182,0.103046847394871
40012#2,CAT-MUL,108901/2755(111656),-0.00287488362062894,-0.041209778237444,0.035074186504052,0.88254989977501
40012#1,CAT-MUL,111284/372(111656),-0.0246996153236703,-0.129328406254315,0.076880298067258,0.638552600839139
40012#6,CAT-MUL,111603/53(111656),-0.0168506267953526,-0.299018835749235,0.24428726661719,0.902998237635129
40012#0,CAT-MUL,111430/226(111656),-0.0989494997653925,-0.238076139580097,0.0347162784298608,0.154834899513033
40012#5,CAT-MUL,111623/33(111656),-0.0362105561962802,-0.400150388594942,0.293213492236193,0.837170055014208
40013#1749,CAT-MUL,111628/28(111656),0.00839666038571622,-0.379628756155163,0.35805154145278,0.9642383061886
40013#2331,CAT-MUL,110673/983(111656),-0.00482005967627052,-0.0685339502758337,0.0577810222167915,0.881077298932802
40013#1809,CAT-MUL,111536/120(111656),0.0280603098953892,-0.153400799542189,0.200708322745628,0.755809921150016
40013#1725,CAT-MUL,111640/16(111656),0.000587156787692435,-0.527540646424927,0.460610023307566,0.998126100873775
40013#1869,CAT-MUL,111569/87(111656),0.0626336339851923,-0.148943470919926,0.262605377444785,0.550189743509188
40013#1727,CAT-MUL,111623/33(111656),-0.0212369926638213,-0.382953294781286,0.306363328679274,0.903492778356413
40013#2273,CAT-MUL,111643/13(111656),-0.327558746640935,-1.0132576612816,0.245620984375576,0.305103137801809
40013#2015,CAT-MUL,111624/32(111656),-0.0359866957248825,-0.408052787635648,0.300299561052463,0.841532015168348
40013#2019,CAT-MUL,111627/29(111656),0.135300714136647,-0.224660771903129,0.463959937196671,0.439060245023202
40013#193,CAT-MUL,111636/20(111656),0.353285965818824,-0.0482000440328609,0.722957806387164,0.0706482235526747
40013#1735,CAT-MUL,111642/14(111656),0.351209916707846,-0.136519322766078,0.793212434428471,0.134877639101186
40013#630,CAT-MUL,111636/20(111656),0.361606242258313,-0.0373471367462707,0.729486268085448,0.0627664691891052
40013#1830,CAT-MUL,111635/21(111656),0.149319807145408,-0.280228903939882,0.536086261516551,0.470410292296678
40013#1726,CAT-MUL,111632/24(111656),0.0760577905904616,-0.333599572535965,0.444596634363235,0.699993013337267
40013#2360,CAT-MUL,111620/36(111656),-0.099800817594115,-0.458502960151681,0.224945050868267,0.565704616631648
40013#2028,CAT-MUL,111639/17(111656),0.483516455613808,0.0698306153502527,0.869633132151833,0.0169310716893369
40013#2040,CAT-MUL,111645/11(111656),-0.211560587355191,-0.93027726236987,0.384410770272392,0.524805077846228
40013#1733,CAT-MUL,111639/17(111656),-0.0549872068868624,-0.574842602295914,0.397836681073054,0.823353975678648
40013#1744,CAT-MUL,111637/19(111656),-0.224301051370569,-0.761102032300923,0.238870142104052,0.376619224968339
40013#2330,CAT-MUL,111642/14(111656),-0.16248587023886,-0.78158125809471,0.362376868143865,0.574454067081855
