90189_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1972, 9426, 14635 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
90190_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
90191_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
90192_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
90193_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
90194_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
90195_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100001_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100002_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100003_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100004_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100005_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100006_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100007_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100008_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100009_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100010_0|| CAT-SINGLE || Inc(>=10): 15(1751) || Inc(>=10): 10(12482) || Inc(>=10): 5(1186) || ordered || CAT-ORD || order: 5|10|15 || num categories: 3 || SUCCESS results-ordered-logistic
100011_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
100012_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
