25548_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25549_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25550_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25551_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25552_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25553_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25554_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25555_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25556_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25557_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25558_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25559_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25560_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25561_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25562_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25563_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25564_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25565_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25566_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25567_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25568_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25569_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25570_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25571_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25572_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25573_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25574_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25575_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25576_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25577_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25578_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25579_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25580_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25581_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25582_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25583_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25584_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 680, 682 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25585_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25586_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25587_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25588_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 681, 681, 681 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
