104100_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 15260 || Inc(>=10): 0(15260) || Inc(>=10): 1(109) || Inc(>=10): 2(290) || Inc(>=10): 3(147) || Removed 4: 6<10 examples || Removed 5: 1<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 4 || SUCCESS results-ordered-logistic
104110_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 15334 || Inc(>=10): 0(15334) || Inc(>=10): 3(296) || Inc(>=10): 1(63) || Inc(>=10): 2(98) || Inc(>=10): 4(14) || Removed 5: 8<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104120_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 13774 || Inc(>=10): 0(13774) || Inc(>=10): 3(1446) || Inc(>=10): 1(146) || Inc(>=10): 4(80) || Inc(>=10): 2(351) || Inc(>=10): 5(16) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104130_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14604 || Inc(>=10): 0(14604) || Inc(>=10): 3(604) || Inc(>=10): 2(325) || Inc(>=10): 1(235) || Inc(>=10): 4(41) || Removed 5: 4<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104140_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 13092 || Inc(>=10): 0(13092) || Inc(>=10): 3(1900) || Inc(>=10): 2(502) || Inc(>=10): 1(197) || Inc(>=10): 4(108) || Inc(>=10): 5(14) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104150_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 15579 || Inc(>=10): 0(15579) || Inc(>=10): 1(52) || Inc(>=10): 2(64) || Inc(>=10): 3(108) || Removed 4: 6<10 examples || Removed 5: 4<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 4 || SUCCESS results-ordered-logistic
104160_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14198 || Inc(>=10): 3(1123) || Inc(>=10): 0(14198) || Inc(>=10): 4(88) || Inc(>=10): 2(252) || Inc(>=10): 1(138) || Inc(>=10): 5(14) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104170_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 10775 || Inc(>=10): 0(10775) || Inc(>=10): 3(3359) || Inc(>=10): 4(184) || Inc(>=10): 2(911) || Inc(>=10): 1(538) || Inc(>=10): 5(46) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104180_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14227 || Inc(>=10): 0(14227) || Inc(>=10): 3(1049) || Inc(>=10): 1(168) || Inc(>=10): 2(290) || Inc(>=10): 4(70) || Removed 5: 9<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104190_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14370 || Inc(>=10): 0(14370) || Inc(>=10): 2(358) || Inc(>=10): 3(646) || Inc(>=10): 1(326) || Inc(>=10): 4(93) || Inc(>=10): 5(20) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104200_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14807 || Inc(>=10): 0(14807) || Inc(>=10): 3(489) || Inc(>=10): 1(201) || Inc(>=10): 2(287) || Inc(>=10): 4(28) || Removed 5: 1<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104210_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 13455 || Inc(>=10): 0(13455) || Inc(>=10): 1(709) || Inc(>=10): 3(960) || Inc(>=10): 2(587) || Inc(>=10): 5(20) || Inc(>=10): 4(82) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104220_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 14557 || Inc(>=10): 0(14557) || Inc(>=10): 3(372) || Inc(>=10): 2(242) || Inc(>=10): 1(571) || Inc(>=10): 4(53) || Inc(>=10): 5(18) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
