varName,varType,n,beta,lower,upper,pvalue
25763,CONTINUOUS,8914,-0.0369748075025647,-0.0580779956471927,-0.0158716193579368,0.000596330016391198
25764,CONTINUOUS,8914,-0.0180186303235496,-0.0389901463509391,0.00295288570383994,0.0921740104609187
25765,CONTINUOUS,8914,-0.0252507970425357,-0.0462321760361498,-0.00426941804892159,0.0183402990607615
25766,CONTINUOUS,8914,-0.00978921540358704,-0.0304144329679576,0.0108360021607835,0.352203886730105
25767,CONTINUOUS,8914,-0.00511131477374268,-0.0263190956218642,0.0160964660743789,0.636625975684882
25768,CONTINUOUS,8914,-0.00916490343356428,-0.0301287807120346,0.0117989738449061,0.391486912419672
25781,CONTINUOUS,9491,0.0252072107366028,0.0073137831799404,0.0431006382932652,0.00576587638051534
25782,CONTINUOUS,10250,0.0104099915227541,-0.006833138553092,0.0276531215986002,0.236675815053938
25783,CONTINUOUS,10250,0.0094280624850352,-0.00783274397723369,0.0266888689473041,0.284337334404851
25784,CONTINUOUS,10250,0.0174027480417322,-0.000294638060627139,0.0351001341440916,0.0539373778170775
25785,CONTINUOUS,10250,0.0148251246261762,-0.00289576676199345,0.0325460160143458,0.101060716817248
25786,CONTINUOUS,10250,0.00438438004833745,-0.0144301555969156,0.0231989156935905,0.64783354062847
25787,CONTINUOUS,10250,0.0153009832861785,-0.00353379019685077,0.0341357567692077,0.111320614774842
25788,CONTINUOUS,10250,0.0045878543939278,-0.0142486846791322,0.0234243934669878,0.633067513105013
25789,CONTINUOUS,10250,0.0049268237265907,-0.0138553722250238,0.0237090196782052,0.607133173635161
25790,CONTINUOUS,10250,0.0135802312337009,-0.00558652190047499,0.0327469843678767,0.164905938378422
25791,CONTINUOUS,10250,-0.000284111182633713,-0.019379444002864,0.0188112216375966,0.976733640881584
25792,CONTINUOUS,10250,0.00892812304709577,-0.010066105978731,0.0279223520729225,0.356874708086189
25793,CONTINUOUS,10250,0.00100635269333235,-0.0180615724792386,0.0200742778659033,0.917604884323672
25794,CONTINUOUS,10250,0.0116366352844754,-0.00654993950850334,0.0298232100774541,0.209788346659223
25795,CONTINUOUS,10250,0.0110653843129515,-0.00711010099850234,0.0292408696244053,0.23274697495493
25796,CONTINUOUS,10250,-0.00516458992138728,-0.0227675109886144,0.0124383311458399,0.565229877109481
25797,CONTINUOUS,10250,0.00740091985537895,-0.0104335197586554,0.0252353594694133,0.415984586010294
25798,CONTINUOUS,10250,0.0111755689777691,-0.00762611465964044,0.0299772526151786,0.243995735113264
25799,CONTINUOUS,10250,0.0148710969185548,-0.00404261134468284,0.0337848051817924,0.123293188081532
25800,CONTINUOUS,10250,0.0177690342167302,-0.000843955733739483,0.0363820241671999,0.0613297981681298
25801,CONTINUOUS,10250,0.0105146695471559,-0.00800638897535752,0.0290357280696694,0.265807089583719
25802,CONTINUOUS,10250,0.00608806227331277,-0.0123516840388597,0.0245278085854853,0.517531409170055
25803,CONTINUOUS,10250,0.00686790472190989,-0.0119547264857711,0.0256905359295909,0.474485634681676
25804,CONTINUOUS,10250,0.0169655233568609,-0.00154700616076264,0.0354780528744845,0.0724617800836323
25805,CONTINUOUS,10250,0.00943802904131387,-0.00925057614298449,0.0281266342256122,0.32223242301134
25806,CONTINUOUS,10250,0.00557995006837134,-0.0138131208505043,0.024973020987247,0.5727628911296
25807,CONTINUOUS,10250,0.0177585163998791,-0.000770083817885604,0.0362871166176438,0.0603102682114592
25808,CONTINUOUS,10250,0.0105360144768561,-0.00821327944624619,0.0292853083999585,0.270697957916109
25809,CONTINUOUS,10250,0.0143952613055284,-0.00435025242288662,0.0331407750339434,0.132279075077887
25810,CONTINUOUS,10250,0.00583936178201822,-0.0127635246099352,0.0244422481739717,0.538372558776443
25811,CONTINUOUS,10250,0.01194185366246,-0.00672814068693108,0.0306118480118512,0.209944665179214
25812,CONTINUOUS,10250,-0.00908388578763741,-0.0279893467476418,0.00982157517236697,0.346289337834818
25813,CONTINUOUS,10250,-0.000590639988002034,-0.018900876173207,0.017719596197203,0.949583991745947
25814,CONTINUOUS,10250,0.00571113501005905,-0.0129885473720161,0.0244108173921342,0.549406077233059
25815,CONTINUOUS,10250,0.000424651365893214,-0.0183801527616433,0.0192294554934297,0.964693815151852
25816,CONTINUOUS,10250,-0.0030015086435011,-0.0221757219472308,0.0161727046602286,0.758966283426672
25817,CONTINUOUS,10250,0.00800228778110759,-0.0112390217844765,0.0272435973466917,0.414960889847663
25818,CONTINUOUS,10250,0.00670960978912304,-0.0126036912104526,0.0260229107886987,0.495893750825182
25819,CONTINUOUS,10250,0.00950168644566513,-0.0099794521916299,0.0289828250829602,0.339063770225696
25820,CONTINUOUS,10250,0.0207198145715543,0.00160525551466574,0.0398343736284429,0.0336259838125681
25821,CONTINUOUS,10250,0.0179517500205896,-0.000956509287494401,0.0368600093286736,0.062767792687283
25822,CONTINUOUS,10250,0.00575892578452794,-0.0136113337038965,0.0251291852729524,0.560053478612732
25823,CONTINUOUS,10250,0.00743189907475861,-0.0114747867665059,0.0263385849160231,0.441009356039569
25824,CONTINUOUS,10250,0.0125437064268109,-0.00625907879720408,0.0313464916508259,0.19100954067451
25825,CONTINUOUS,10250,0.000744623206844661,-0.0176263357492525,0.0191155821629419,0.936674756457735
25826,CONTINUOUS,10250,0.00785688209476808,-0.010969222051962,0.0266829862414982,0.413337594274919
25827,CONTINUOUS,10250,0.0100626625134118,-0.0079989125287611,0.0281242375555848,0.274821121149364
25828,CONTINUOUS,10250,0.0290898545095518,0.0100718283618194,0.0481078806572841,0.00272139527903258
25829,CONTINUOUS,10250,0.0375820723071546,0.0185727499317725,0.0565913946825366,0.000107125738147184
25830,CONTINUOUS,10250,0.0133042769718163,-0.00540423009139138,0.032012784035024,0.16335870129102
25831,CONTINUOUS,10250,0.0201890440010306,0.00136318107423561,0.0390149069278257,0.0355659424837916
25832,CONTINUOUS,10250,0.0202789708377849,0.00118125978494759,0.0393766818906222,0.0374183788831188
25833,CONTINUOUS,10250,0.0122098012168235,-0.00684492165217524,0.0312645240858223,0.209128107441948
25834,CONTINUOUS,10250,0.00175072008795285,-0.0161231925307366,0.0196246327066424,0.847747640430787
25835,CONTINUOUS,10250,0.00708554756865554,-0.0107983444749035,0.0249694396122146,0.437398563496902
25836,CONTINUOUS,10250,-0.0136451715957935,-0.0316248394778887,0.00433449628630173,0.136877623112847
25837,CONTINUOUS,10250,-0.00374518332780375,-0.0218240755233191,0.0143337088677116,0.684699787891514
25838,CONTINUOUS,10250,0.0126454250936366,-0.00655414647264021,0.0318449966599134,0.196717268045705
25839,CONTINUOUS,10250,0.0135169696576203,-0.00562908654785685,0.0326630258630975,0.166424376314614
25840,CONTINUOUS,10250,0.00414807793120263,-0.0132572539067042,0.0215534097691095,0.640396586716411
25841,CONTINUOUS,10250,0.00385756202128129,-0.0137278924303393,0.0214430164729019,0.667211669657439
