25763_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25764_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25765_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25766_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25767_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25768_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25781_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25782_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25783_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25784_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25785_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25786_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25787_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25788_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25789_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25790_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25791_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25792_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25793_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25794_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25795_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25796_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25797_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25798_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25799_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25800_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25801_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25802_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25803_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25804_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25805_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25806_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25807_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25808_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25809_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25810_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25811_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25812_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25813_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25814_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25815_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25816_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25817_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25818_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25819_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25820_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25821_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25822_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25823_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25824_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25825_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25826_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25827_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25828_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25829_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25830_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25831_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25832_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25833_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25834_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25835_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25836_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25837_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25838_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25839_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25840_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25841_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
