104100_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46024 || Inc(>=10): 0(46024) || Inc(>=10): 1(318) || Inc(>=10): 2(740) || Inc(>=10): 3(421) || Inc(>=10): 4(14) || Removed 5: 2<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104110_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46367 || Inc(>=10): 0(46367) || Inc(>=10): 3(696) || Inc(>=10): 1(186) || Inc(>=10): 2(219) || Inc(>=10): 4(39) || Inc(>=10): 5(12) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104120_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 42589 || Inc(>=10): 0(42589) || Inc(>=10): 3(3409) || Inc(>=10): 2(833) || Inc(>=10): 4(209) || Inc(>=10): 1(440) || Inc(>=10): 5(39) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104130_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 44513 || Inc(>=10): 0(44513) || Inc(>=10): 2(793) || Inc(>=10): 3(1421) || Inc(>=10): 1(668) || Inc(>=10): 4(108) || Inc(>=10): 5(16) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104140_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 40594 || Inc(>=10): 0(40594) || Inc(>=10): 3(4790) || Inc(>=10): 4(323) || Inc(>=10): 1(569) || Inc(>=10): 2(1206) || Inc(>=10): 5(37) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104150_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46697 || Inc(>=10): 0(46697) || Inc(>=10): 1(161) || Inc(>=10): 2(227) || Inc(>=10): 3(416) || Inc(>=10): 4(13) || Removed 5: 5<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104160_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43628 || Inc(>=10): 3(2657) || Inc(>=10): 0(43628) || Inc(>=10): 4(228) || Inc(>=10): 2(602) || Inc(>=10): 1(371) || Inc(>=10): 5(33) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104170_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 34291 || Inc(>=10): 0(34291) || Inc(>=10): 2(2377) || Inc(>=10): 3(8552) || Inc(>=10): 4(587) || Inc(>=10): 1(1623) || Inc(>=10): 5(89) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104180_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43795 || Inc(>=10): 0(43795) || Inc(>=10): 3(2460) || Inc(>=10): 1(412) || Inc(>=10): 4(176) || Inc(>=10): 2(645) || Inc(>=10): 5(31) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104190_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43903 || Inc(>=10): 0(43903) || Inc(>=10): 3(1572) || Inc(>=10): 5(64) || Inc(>=10): 2(838) || Inc(>=10): 1(903) || Inc(>=10): 4(239) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104200_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 44679 || Inc(>=10): 0(44679) || Inc(>=10): 1(573) || Inc(>=10): 3(1390) || Inc(>=10): 2(783) || Inc(>=10): 4(87) || Removed 5: 7<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104210_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 40569 || Inc(>=10): 0(40569) || Inc(>=10): 2(1618) || Inc(>=10): 3(2832) || Inc(>=10): 1(2075) || Inc(>=10): 4(345) || Inc(>=10): 5(80) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104220_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43199 || Inc(>=10): 0(43199) || Inc(>=10): 1(1984) || Inc(>=10): 3(1256) || Inc(>=10): 4(187) || Inc(>=10): 2(830) || Inc(>=10): 5(63) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
