varName,varType,n,beta,lower,upper,pvalue
20165-3,CAT-SIN,83922/86070,-999,-999,-999,0.607067836351593
20165-3#2,CAT-SIN,83922#610,0.0270957106461971,-0.0526017802791196,0.106793201571514,0.505185858596732
20165-3#4,CAT-SIN,83922#900,0.0500141774450057,-0.0151435024613856,0.115171857351397,0.132467453727326
20165-3#1,CAT-SIN,83922#363,0.0125963537356346,-0.0913688438182737,0.116561551289543,0.812293800322523
20165-3#5,CAT-SIN,83922#275,-0.00154111046016395,-0.121732834019291,0.118650613098963,0.979950587750832
20167-3,CAT-SIN,85335/86077,-999,-999,-999,0.682368133596704
20167-3#4,CAT-SIN,85335#648,-0.0288469422968823,-0.108374949488001,0.0506810648942363,0.477126665277712
20167-3#0,CAT-SIN,85335#16,0.259555966174678,-0.189461422209719,0.708573354559074,0.257229549972336
20167-3#1,CAT-SIN,85335#45,0.0136257585949919,-0.28077985701773,0.308031374207714,0.927721775659454
20167-3#5,CAT-SIN,85335#33,-0.139638807684602,-0.507767531411534,0.228489916042329,0.457206431133205
20169-4,CAT-SIN,72446/86058,-999,-999,-999,0.229825610156852
20169-4#1,CAT-SIN,72446#7515,0.00693100875384277,-0.0170823649599105,0.030944382467596,0.571593147745857
20169-4#2,CAT-SIN,72446#5956,0.0253850558251847,-0.00120689664342834,0.0519770082937977,0.0613437670219537
20169-4#3,CAT-SIN,72446#65,0.167806110110267,-0.0624672240337904,0.398079444254325,0.153212363469577
20169-4#5,CAT-SIN,72446#76,-0.0294540834975472,-0.26045223303832,0.201544066043226,0.80265629583392
20171-2,CAT-SIN,76549/85672,-999,-999,-999,0.7246568808523
20171-2#5,CAT-SIN,76549#2904,-0.014743425103051,-0.0526019420560807,0.0231150918499787,0.445297476131459
20171-2#1,CAT-SIN,76549#4485,-0.0179949583270613,-0.0487568058595069,0.0127668892053842,0.251574722798281
20171-2#4,CAT-SIN,76549#1148,-0.0154521783612399,-0.0748721497207694,0.0439677929982896,0.610269274672809
20171-2#3,CAT-SIN,76549#586,-0.00711122192144092,-0.0894790688741434,0.0752566250312616,0.865628833851771
20173-4,CAT-SIN,46989/84142,-999,-999,-999,0.0641210150929399
20173-4#1,CAT-SIN,46989#7933,0.00382214574113359,-0.0203489242247353,0.0279932157070025,0.756616445020406
20173-4#5,CAT-SIN,46989#11421,0.026797337967588,0.00618443595982761,0.0474102399753484,0.0108340316832785
20173-4#3,CAT-SIN,46989#9601,0.0153651812282932,-0.00684677869354712,0.0375771411501336,0.175159565107294
20173-4#2,CAT-SIN,46989#8198,0.0212152905079,-0.00251848197079288,0.0449490629865928,0.0797764456134669
20175-2,CAT-SIN,57702/76138,-999,-999,-999,0.714813446408532
20175-2#3,CAT-SIN,57702#16270,0.00648777265150943,-0.0111717406038086,0.0241472859068275,0.471491832663722
20175-2#5,CAT-SIN,57702#791,-0.0119065755245607,-0.0833565922432739,0.0595434411941525,0.743961087279299
20175-2#1,CAT-SIN,57702#506,0.0530107837644299,-0.0338006168455303,0.13982218437439,0.231369506689995
20175-2#4,CAT-SIN,57702#869,-0.0101890712702685,-0.0784001682960684,0.0580220257555314,0.769697401869822
20177-3,CAT-SIN,58510/62436,-999,-999,-999,0.452708796701159
20177-3#1,CAT-SIN,58510#2664,-0.0203236009403916,-0.0601443185585258,0.0194971166777426,0.31715487401213
20177-3#5,CAT-SIN,58510#392,0.0601775760519071,-0.0383132357884115,0.158668387892226,0.231099330399526
20177-3#2,CAT-SIN,58510#562,0.0445838429695755,-0.03881362901636,0.127981314955511,0.294737087424089
20177-3#4,CAT-SIN,58510#308,-0.0186135483282032,-0.133211397487391,0.0959843008309845,0.75022171743496
20179-2,CAT-SIN,43528/57007,-999,-999,-999,0.220959106515002
20179-2#1,CAT-SIN,43528#6389,-0.00886723628168861,-0.0357477386899206,0.0180132661265434,0.517926239426399
20179-2#3,CAT-SIN,43528#3171,-0.00177162990977751,-0.0385500262826247,0.0350067664630697,0.924781692433382
20179-2#5,CAT-SIN,43528#2327,0.0383297676078122,-0.00355658116416086,0.0802161163797853,0.0728861551127511
20179-2#4,CAT-SIN,43528#1592,0.0357000518490743,-0.0144885393769135,0.0858886430750622,0.163269958500962
20181-4,CAT-SIN,15450/23435,-999,-999,-999,0.834447252257772
20181-4#5,CAT-SIN,15450#7457,0.0135226040444393,-0.0147935500748229,0.0418387581637014,0.349275066946845
20181-4#1,CAT-SIN,15450#409,-0.00550234431048394,-0.106409220104947,0.0954045314839787,0.914888348515202
20181-4#2,CAT-SIN,15450#59,0.0769500412479721,-0.179706663307186,0.333606745803131,0.556780329523239
20181-4#3,CAT-SIN,15450#60,0.0693413755522599,-0.185580775266207,0.324263526370727,0.593943722518311
20183-2,CAT-SIN,13022/15607,-999,-999,-999,0.561235491736439
20183-2#3,CAT-SIN,13022#709,0.0212900134278105,-0.0558278143234028,0.0984078411790237,0.588445781720687
20183-2#4,CAT-SIN,13022#857,0.0557167763800119,-0.0139706968103768,0.125404249570401,0.117105955814581
