varName,varType,n,beta,lower,upper,pvalue
102710,CAT-SIN,47519,0.00586516002994726,-0.0229228512957679,0.0346531713556624,0.689657052746007
102720,CAT-SIN,47519,0.0150686797274299,-0.0470588305950317,0.0771961900498914,0.634513327135244
102730,CAT-SIN,47519,-0.0143986266688995,-0.045347181975052,0.0165499286372529,0.361837544896285
102740,CAT-SIN,47519,0.0336920980410173,-0.0272549917981045,0.094639187880139,0.278589573149559
102750,CAT-SIN,47519,-0.117522591467816,-0.294740495852414,0.059695312916781,0.193682705677164
102760,CAT-SIN,47517,-0.0614686607371119,-0.307317323115161,0.184380001640937,0.624099520500002
102770,CAT-SIN,47519,-0.0682246765391198,-0.135279845419605,-0.00116950765863411,0.0461376216221232
102780,CAT-SIN,47519,-0.0112079821616386,-0.154890311558952,0.132474347235675,0.878485376704012
102810,CAT-SIN,47519,-0.00140657536741631,-0.0420573587642738,0.0392442080294412,0.945930156151609
102820,CAT-SIN,47519,-0.00277027323240643,-0.0223210082964684,0.0167804618316556,0.781224376702858
102830,CAT-SIN,47519,0.0115548124234354,-0.0348474349622795,0.0579570598091503,0.625504230181427
102840,CAT-SIN,47516,-0.021642675407886,-0.0769562521394657,0.0336709013236936,0.443148420679846
