25004_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25005_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25006_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25007_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25008_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25009_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25010_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25011_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25012_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25013_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25014_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25015_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25016_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25017_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25018_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25019_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25020_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25021_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25022_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25023_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25024_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25025_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25026_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25027_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
