104230_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 45638 || Inc(>=10): 0(45638) || Inc(>=10): 3(997) || Inc(>=10): 1(360) || Inc(>=10): 4(48) || Inc(>=10): 2(471) || Removed 5: 5<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104240_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 37251 || Inc(>=10): 0(37251) || Inc(>=10): 3(5458) || Inc(>=10): 1(1985) || Inc(>=10): 2(2232) || Inc(>=10): 4(531) || Inc(>=10): 5(62) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104250_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 41494 || Inc(>=10): 0(41494) || Inc(>=10): 2(1545) || Inc(>=10): 3(2853) || Inc(>=10): 1(1354) || Inc(>=10): 4(198) || Inc(>=10): 5(75) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104260_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 36437 || Inc(>=10): 0(36437) || Inc(>=10): 2(3085) || Inc(>=10): 1(3913) || Inc(>=10): 3(3846) || Inc(>=10): 4(214) || Inc(>=10): 5(24) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104270_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 45967 || Inc(>=10): 0(45967) || Inc(>=10): 3(911) || Inc(>=10): 4(51) || Inc(>=10): 2(343) || Inc(>=10): 1(237) || Inc(>=10): 5(10) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104280_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 41377 || Inc(>=10): 0(41377) || Inc(>=10): 3(4102) || Inc(>=10): 2(1152) || Inc(>=10): 1(689) || Inc(>=10): 4(178) || Inc(>=10): 5(21) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104290_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 39872 || Inc(>=10): 0(39872) || Inc(>=10): 2(2218) || Inc(>=10): 3(2293) || Inc(>=10): 1(2953) || Inc(>=10): 4(162) || Inc(>=10): 5(21) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104300_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 45530 || Inc(>=10): 0(45530) || Inc(>=10): 3(959) || Inc(>=10): 4(91) || Inc(>=10): 2(469) || Inc(>=10): 1(457) || Inc(>=10): 5(13) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104310_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46353 || Inc(>=10): 0(46353) || Inc(>=10): 3(807) || Inc(>=10): 2(164) || Inc(>=10): 4(63) || Inc(>=10): 1(104) || Inc(>=10): 5(28) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104320_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 45171 || Inc(>=10): 0(45171) || Inc(>=10): 2(523) || Inc(>=10): 3(1217) || Inc(>=10): 1(534) || Inc(>=10): 4(68) || Removed 5: 6<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104330_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46709 || Inc(>=10): 0(46709) || Inc(>=10): 1(163) || Inc(>=10): 2(230) || Inc(>=10): 3(402) || Inc(>=10): 4(13) || Removed 5: 2<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
104340_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 31949 || Inc(>=10): 0(31949) || Inc(>=10): 5(821) || Inc(>=10): 3(8097) || Inc(>=10): 2(2763) || Inc(>=10): 1(1567) || Inc(>=10): 4(2322) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104350_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43471 || Inc(>=10): 0(43471) || Inc(>=10): 1(748) || Inc(>=10): 2(1127) || Inc(>=10): 4(187) || Inc(>=10): 3(1929) || Inc(>=10): 5(57) || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 6 || SUCCESS results-ordered-logistic
104360_0|| CAT-SINGLE || reorder 444|555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 46493 || Inc(>=10): 0(46493) || Inc(>=10): 2(255) || Inc(>=10): 1(190) || Inc(>=10): 4(41) || Inc(>=10): 3(537) || Removed 5: 3<10 examples || ordered || CAT-ORD || order: 444|555|1|2|300 || num categories: 5 || SUCCESS results-ordered-logistic
