varName,varType,n,beta,lower,upper,pvalue
20002#1065,CAT-MUL,247915/87012(334927),0.00172191617539564,-0.00623583692670439,0.00968173023896129,0.671530884991829
20002#1111,CAT-MUL,296352/38575(334927),-0.0125335764963832,-0.0231414576998426,-0.00191943739522519,0.0206039667339173
20002#1534,CAT-MUL,333175/1752(334927),-0.00736413521501752,-0.0541638789969601,0.0396015017480734,0.758191528011376
20002#1351,CAT-MUL,329747/5180(334927),-0.0109687033885223,-0.0386181824980763,0.0167335020667483,0.437284280031895
20002#99999,CAT-MUL,321391/13536(334927),0.00543442708035278,-0.0117999778661575,0.0226892092869801,0.53679972207197
20002#1646,CAT-MUL,334686/241(334927),-0.0354969834994113,-0.160537710393515,0.0907947634369975,0.579902631642788
20002#1494,CAT-MUL,333690/1237(334927),-0.0188665233563572,-0.0744859899288792,0.0369876431055072,0.507066182362643
20002#1312,CAT-MUL,329323/5604(334927),0.000668667148574123,-0.0257145022756714,0.0271026250957811,0.960420225031102
20002#1074,CAT-MUL,324520/10407(334927),-0.0129455916086069,-0.0327178558114791,0.00685227860892449,0.199691095045214
20002#1453,CAT-MUL,331089/3838(334927),0.00841343865797227,-0.0234241963495766,0.0403253435077463,0.604920633134078
20002#1093,CAT-MUL,332152/2775(334927),-0.0299271678596787,-0.0671249075607844,0.00737602332131224,0.115343414003648
20002#1286,CAT-MUL,315927/19000(334927),0.00483951353566347,-0.00984783622985399,0.0195410999974481,0.518568574045884
20002#1081,CAT-MUL,330522/4405(334927),0.0177746884355861,-0.0120692939312005,0.0476820612629753,0.243545650590317
20002#1265,CAT-MUL,325014/9913(334927),-0.00693377823136538,-0.0269952575626815,0.0131553438083856,0.498438184854946
20002#1094,CAT-MUL,328193/6734(334927),-0.00217220492217392,-0.0263151173837579,0.0220123122474241,0.86014370101676
20002#1465,CAT-MUL,307084/27843(334927),0.00588842658965464,-0.00657699388954711,0.0183629977171711,0.354699335757824
20002#1262,CAT-MUL,334332/595(334927),0.00185864412319985,-0.078317545630496,0.0825204098856882,0.963871704370785
20002#1456,CAT-MUL,333515/1412(334927),0.00802809033716343,-0.0442529854977615,0.0605085338983171,0.763876825692232
20002#1387,CAT-MUL,315670/19257(334927),-0.0020245705217005,-0.0165872310902248,0.0125521775954624,0.785339970907519
20002#1473,CAT-MUL,294067/40860(334927),0.00607762870124261,-0.00455281044602336,0.0167139588915414,0.262604737485866
20002#1649,CAT-MUL,334735/192(334927),-0.0545799570045006,-0.193948148945372,0.086452691240053,0.445569501447715
20002#1138,CAT-MUL,320713/14214(334927),0.00056842538193209,-0.0162659705963375,0.0174220510805678,0.947264860851996
20002#1226,CAT-MUL,318673/16254(334927),0.0233908028851678,0.00737662292846352,0.0394215817545475,0.00421693669058984
20002#1436,CAT-MUL,332100/2827(334927),0.0181395001768511,-0.0189384505255088,0.0553176930713769,0.3382844746118
20002#1430,CAT-MUL,334815/112(334927),0.0356286576536513,-0.149236677305654,0.222999686676104,0.707615431346101
20002#1223,CAT-MUL,332845/2082(334927),0.0351639662083357,-0.00805935676511747,0.078520913608127,0.111374308033914
20002#1396,CAT-MUL,330375/4552(334927),-0.0105825309298736,-0.0403244042611093,0.0192191397169652,0.485992075255835
20002#1458,CAT-MUL,331150/3777(334927),-0.028280151536246,-0.0602998060551664,0.00381530579290411,0.0838080372559508
20002#1413,CAT-MUL,333639/1288(334927),0.00894058180606285,-0.0456991437642441,0.0638025140526163,0.748931278620561
20002#1331,CAT-MUL,333929/998(334927),-0.0211852922934773,-0.0832222964349446,0.0411390227412643,0.504295867948695
20002#1309,CAT-MUL,329693/5234(334927),-0.00568233252499107,-0.0332715583300967,0.0219587676796987,0.686727798765878
20002#1482,CAT-MUL,333390/1537(334927),-0.0111444435772634,-0.0612088753773968,0.0391063634227987,0.66320895332771
20002#1479,CAT-MUL,333954/973(334927),-0.00299453440636549,-0.0657843063283618,0.0600895202708609,0.925703725365943
20002#1474,CAT-MUL,327139/7788(334927),0.0054184254325187,-0.0171159117579324,0.0279883836011703,0.637708990115105
20002#1440,CAT-MUL,333368/1559(334927),0.00527185554614423,-0.0445181582515322,0.0552430963271691,0.835898226291216
20002#1287,CAT-MUL,330286/4641(334927),-0.0107459343853998,-0.0396927469554165,0.0182622052121492,0.467332934207524
20002#1277,CAT-MUL,331462/3465(334927),0.0142358373293206,-0.0193072437486174,0.0478597612501586,0.406080330961056
20002#1532,CAT-MUL,334656/271(334927),0.0269069652357937,-0.0919530648952777,0.146811253796683,0.658721412770885
20002#1294,CAT-MUL,329099/5828(334927),0.0080243951899143,-0.0178848776572421,0.0339821523363803,0.544213792432622
20002#1402,CAT-MUL,332181/2746(334927),0.00588652967780491,-0.0318937448892552,0.0437672355319909,0.760382198948635
20002#1487,CAT-MUL,334765/162(334927),0.121027524341719,-0.0340426980906085,0.277663377647545,0.128054109455791
20002#1461,CAT-MUL,334803/124(334927),0.0177021401155229,-0.157204630144786,0.194945489359949,0.843839593179105
20002#1126,CAT-MUL,334122/805(334927),-0.00901764757931553,-0.0779497282091316,0.0602797408757232,0.798172632431133
20002#1571,CAT-MUL,333577/1350(334927),-0.0048624330807855,-0.058112169879952,0.0486034751458433,0.85824082498897
20002#1374,CAT-MUL,332511/2416(334927),-0.0082047693115909,-0.0481855312752013,0.0318942305104931,0.687963504899377
20002#1075,CAT-MUL,327359/7568(334927),-0.0190249311377712,-0.0420588618623679,0.00404492774932283,0.105739921008331
20002#1459,CAT-MUL,334045/882(334927),-0.0364300148177393,-0.102085553188668,0.0295642544248466,0.278069311031926
20002#1634,CAT-MUL,334229/698(334927),-0.0307942077044316,-0.104441929559088,0.0432863409763377,0.413890484589377
20002#1405,CAT-MUL,333532/1395(334927),0.040052973883395,-0.0126736267016219,0.0929779493667214,0.13727006987384
20002#1573,CAT-MUL,334655/272(334927),0.0195011525359462,-0.0989189412248625,0.138975239832095,0.747995203147789
20002#1067,CAT-MUL,334315/612(334927),0.0482035646224355,-0.031366576591223,0.128217206963516,0.236422129986115
20002#1466,CAT-MUL,330199/4728(334927),-0.021404323850958,-0.0502274919092813,0.0074792029970542,0.145957268528173
20002#1077,CAT-MUL,333063/1864(334927),-0.00373797202366335,-0.0492086749237642,0.0418864282550249,0.87221422614958
20002#1513,CAT-MUL,333536/1391(334927),-0.0361102103139491,-0.0884549547844584,0.0164515293673147,0.177254578310965
20002#1278,CAT-MUL,330267/4660(334927),-0.0229245077943418,-0.0518336698054206,0.00604553573149084,0.120523575915717
20002#1386,CAT-MUL,331899/3028(334927),-0.00500909701342463,-0.0407691460680312,0.0308448657501686,0.783927378093891
20002#1631,CAT-MUL,334561/366(334927),0.013755609492568,-0.0882354778864494,0.116549406229661,0.792338280228627
20002#1462,CAT-MUL,333914/1013(334927),0.00290645838787726,-0.0586661667989253,0.0647627727902531,0.926454476339373
20002#1279,CAT-MUL,334439/488(334927),0.0282134579621756,-0.0605703046411594,0.117575538032423,0.53475818717694
20002#1295,CAT-MUL,333320/1607(334927),0.0375310672977266,-0.0116450974274584,0.0868789815689971,0.135385170175709
20002#1478,CAT-MUL,332588/2339(334927),0.0188400539721977,-0.0219484942500255,0.0597468680867633,0.366007466975164
20002#1264,CAT-MUL,332117/2810(334927),0.0134178127941841,-0.0237281255344331,0.0506650691151186,0.479544138093693
20002#1079,CAT-MUL,334651/276(334927),0.0654968293855351,-0.0527966965378979,0.184785926010577,0.279919288146938
20002#1568,CAT-MUL,333765/1162(334927),0.0151627561833556,-0.042354584126221,0.0729249299510495,0.606153408959724
20002#1598,CAT-MUL,332574/2353(334927),-0.0109876751054319,-0.0514069084363875,0.0295547847497799,0.59473754063075
20002#1201,CAT-MUL,332928/1999(334927),0.00241253351061044,-0.0415826564497975,0.0465481403971931,0.914547203149523
20002#1371,CAT-MUL,334287/640(334927),-0.0637718793460897,-0.140439759747841,0.013383167308742,0.104160645534674
20002#1220,CAT-MUL,321821/13106(334927),0.000347846761069884,-0.0172274511755163,0.0179439980943733,0.969074551410857
20002#1633,CAT-MUL,334231/696(334927),0.0034628266516542,-0.0706585858738171,0.0780000659390018,0.927250426721227
20002#1650,CAT-MUL,334728/199(334927),-0.0706903934008795,-0.20760894224913,0.0678174168604455,0.314487723853672
20002#1531,CAT-MUL,334666/261(334927),-0.0437495090443244,-0.164235709746367,0.0778677197298862,0.478796697350113
20002#1538,CAT-MUL,332326/2601(334927),0.0158504407880736,-0.0227752068057081,0.0545840539665048,0.42188128543032
20002#1467,CAT-MUL,332844/2083(334927),0.0507487918152189,0.00745660432559926,0.0941722876227902,0.0217887263992585
20002#1400,CAT-MUL,334602/325(334927),-0.121253835563387,-0.228171057681072,-0.0133303765803639,0.0269633780503932
