varName,varType,n,beta,lower,upper,pvalue
100920-2102,CAT-SIN,29606/47519,-999,-999,-999,0.547599250475411
100920-2102#2103,CAT-SIN,29606#9824,-0.00598502431955813,-0.0288943186817099,0.0169242700425936,0.608624327884405
100920-2102#2109,CAT-SIN,29606#204,-0.0665915530824823,-0.203072007361409,0.0698889011964444,0.338917776397359
100920-2102#2104,CAT-SIN,29606#2644,-0.00103328719358385,-0.0408833825124197,0.038816808125252,0.95946847704068
100920-2102#2105,CAT-SIN,29606#1421,0.00261471841105248,-0.0505840559363362,0.0558134927584411,0.923256753845525
100920-2102#0,CAT-SIN,29606#2268,0.0130491874750082,-0.0296944140627544,0.0557927890127708,0.549601683938796
100920-2102#2106,CAT-SIN,29606#604,0.103875735691937,0.0225875882296828,0.185163883154192,0.0122596738426874
100920-2102#2199,CAT-SIN,29606#206,-0.0078523196928558,-0.144339168715094,0.128634529329382,0.910220792495597
100920-2102#2107,CAT-SIN,29606#290,0.0174160962329091,-0.0980708471972551,0.132903039663073,0.767555540670653
100920-2102#222,CAT-SIN,29606#90,-0.052906735167459,-0.258309503259066,0.152496032924148,0.613672032527379
100920-2102#2108,CAT-SIN,29606#269,-0.0303437433131103,-0.149765902991935,0.0890784163657141,0.618481631030098
100920-2102#2110,CAT-SIN,29606#93,0.109157371961562,-0.09602969629024,0.314344440213365,0.297096376186656
